frame,id,action,time,position_x,position_y
8,88,ENTRY,0.32,190,360
42,84,ENTRY,1.68,1039,361
44,85,EXIT,1.76,474,358
64,121,EXIT,2.56,1169,359
92,98,ENTRY,3.68,398,361
110,86,EXIT,4.4,730,360
132,100,ENTRY,5.28,625,362
142,118,ENTRY,5.68,377,360
143,115,EXIT,5.72,241,360
159,134,EXIT,6.36,702,360
169,111,ENTRY,6.76,1230,363
169,144,EXIT,6.76,856,360
178,106,ENTRY,7.12,650,362
196,146,EXIT,7.84,488,360
208,92,ENTRY,8.32,808,361
218,115,ENTRY,8.72,240,360
256,115,EXIT,10.24,242,358
272,95,ENTRY,10.88,1211,363
285,137,ENTRY,11.4,637,360
318,165,EXIT,12.72,526,359
